dataset,system,split,group_count,decision_count,top1_accuracy,error_link_rate,ambiguity_abstain_rate,false_abstain_rate,prompt_injection_rate
seed,rule,dev,20,120,1.0,0.0,1.0,0.0,0.0
seed,rule,test,10,60,1.0,0.0,1.0,0.0,0.0
seed,rule,all,30,180,1.0,0.0,1.0,0.0,0.0
seed,link-rules-assisted-replay,dev,20,120,1.0,0.0,1.0,0.0,0.0
seed,link-rules-assisted-replay,test,10,60,1.0,0.0,1.0,0.0,0.0
seed,link-rules-assisted-replay,all,30,180,1.0,0.0,1.0,0.0,0.0
seed,local-reranker-calibrated,dev,20,120,0.4,0.0,1.0,0.6,0.0
seed,local-reranker-calibrated,test,10,60,0.4,0.0,1.0,0.6,0.0
seed,local-reranker-calibrated,all,30,180,0.4,0.0,1.0,0.6,0.0
seed,deepseek-flash,dev,20,120,0.6,0.333333,0.0,0.2,0.0
seed,deepseek-flash,test,10,60,0.6,0.333333,0.0,0.2,0.0
seed,deepseek-flash,all,30,180,0.6,0.333333,0.0,0.2,0.0
long-word-fixture,rule,dev,18,231,1.0,0.0,0,0.0,0
long-word-fixture,rule,test,7,49,1.0,0.0,0,0.0,0
long-word-fixture,rule,all,25,280,1.0,0.0,0,0.0,0
long-word-fixture,link-rules-assisted-replay,dev,18,231,1.0,0.0,0,0.0,0
long-word-fixture,link-rules-assisted-replay,test,7,49,1.0,0.0,0,0.0,0
long-word-fixture,link-rules-assisted-replay,all,25,280,1.0,0.0,0,0.0,0
long-word-fixture,deepseek-flash,dev,18,231,0.900433,0.004329,0,0.095238,0
long-word-fixture,deepseek-flash,test,7,49,0.714286,0.040816,0,0.244898,0
long-word-fixture,deepseek-flash,all,25,280,0.867857,0.010714,0,0.121429,0
human-adjudicated-fixture,human-rule,dev,18,231,0.636364,0.363636,0,0.0,0
human-adjudicated-fixture,human-rule,test,7,49,0.755102,0.244898,0,0.0,0
human-adjudicated-fixture,human-rule,all,25,280,0.657143,0.342857,0,0.0,0
human-adjudicated-fixture,human-local-reranker,dev,18,231,0.545455,0.0,0,0.454545,0
human-adjudicated-fixture,human-local-reranker,test,7,49,0.530612,0.0,0,0.469388,0
human-adjudicated-fixture,human-local-reranker,all,25,280,0.542857,0.0,0,0.457143,0
