epoch,train_loss,dev_loss,test_loss,dev_top1,test_top1,dev_error,test_error
1,6.910861853194228,6.910861853194219,8.33380618900675,0.545455,0.530612,0.454545,0.469388
2,2.2863897756942193,2.28638977569422,2.73952535360862,0.545455,0.530612,0.454545,0.469388
3,1.392052751328956,1.3920527513289567,1.5423378003653538,0.636364,0.591837,0.363636,0.408163
4,1.4068522085165374,1.4068522085165365,1.31135745309878,0.545455,0.530612,0.454545,0.469388
5,0.7838750798566088,0.7838750798566088,0.9370795840493451,0.545455,0.530612,0.454545,0.469388
6,1.3224081933504706,1.3224081933504688,1.2040122216464937,0.636364,0.755102,0.363636,0.244898
7,0.9117771259028018,0.9117771259027992,1.1650923071478014,0.636364,0.755102,0.363636,0.244898
8,0.7297578056944307,0.7297578056944315,0.7483885412817001,0.636364,0.591837,0.363636,0.408163
9,1.048181996148153,1.0481819961481527,1.4135202257692547,0.545455,0.530612,0.454545,0.469388
10,2.296243907390263,2.296243907390257,2.534379092592443,0.545455,0.530612,0.454545,0.469388
