threshold,margin,dev_decisions,local_auto_accept_rate,estimated_api_fallback_calls,linked_auto_top1,linked_auto_wrong_rate,ambiguity_abstain_rate
-3.5,0.0,120,1.0,0,1.0,0.0,0.0
-3.5,0.05,120,1.0,0,1.0,0.0,0.0
-3.5,0.1,120,1.0,0,1.0,0.0,0.0
-3.5,0.2,120,1.0,0,1.0,0.0,0.0
-3.5,0.3,120,0.833333,20,1.0,0.0,1.0
-3.0,0.0,120,1.0,0,1.0,0.0,0.0
-3.0,0.05,120,1.0,0,1.0,0.0,0.0
-3.0,0.1,120,1.0,0,1.0,0.0,0.0
-3.0,0.2,120,1.0,0,1.0,0.0,0.0
-3.0,0.3,120,0.833333,20,1.0,0.0,1.0
-2.5,0.0,120,1.0,0,1.0,0.0,0.0
-2.5,0.05,120,1.0,0,1.0,0.0,0.0
-2.5,0.1,120,1.0,0,1.0,0.0,0.0
-2.5,0.2,120,1.0,0,1.0,0.0,0.0
-2.5,0.3,120,0.833333,20,1.0,0.0,1.0
-2.0,0.0,120,0.833333,20,1.0,0.0,0.0
-2.0,0.05,120,0.833333,20,1.0,0.0,0.0
-2.0,0.1,120,0.833333,20,1.0,0.0,0.0
-2.0,0.2,120,0.833333,20,1.0,0.0,0.0
-2.0,0.3,120,0.666667,40,1.0,0.0,1.0
-1.8,0.0,120,0.666667,40,1.0,0.0,0.0
-1.8,0.05,120,0.666667,40,1.0,0.0,0.0
-1.8,0.1,120,0.666667,40,1.0,0.0,0.0
-1.8,0.2,120,0.666667,40,1.0,0.0,0.0
-1.8,0.3,120,0.5,60,1.0,0.0,1.0
-1.6,0.0,120,0.5,60,1.0,0.0,0.0
-1.6,0.05,120,0.5,60,1.0,0.0,0.0
-1.6,0.1,120,0.5,60,1.0,0.0,0.0
-1.6,0.2,120,0.5,60,1.0,0.0,0.0
-1.6,0.3,120,0.333333,80,1.0,0.0,1.0
-1.4,0.0,120,0.333333,80,1.0,0.0,0.0
-1.4,0.05,120,0.333333,80,1.0,0.0,0.0
-1.4,0.1,120,0.333333,80,1.0,0.0,0.0
-1.4,0.2,120,0.333333,80,1.0,0.0,0.0
-1.4,0.3,120,0.166667,100,1.0,0.0,1.0
-1.2,0.0,120,0.0,120,0,0,1.0
-1.2,0.05,120,0.0,120,0,0,1.0
-1.2,0.1,120,0.0,120,0,0,1.0
-1.2,0.2,120,0.0,120,0,0,1.0
-1.2,0.3,120,0.0,120,0,0,1.0
