threshold,margin,accepted_rate,linked_accept_rate,linked_top1,linked_wrong_rate,ambiguity_abstain_rate
-3.5,0.0,1.0,1.0,1.0,0.0,0.0
-3.5,0.05,1.0,1.0,1.0,0.0,0.0
-3.5,0.1,1.0,1.0,1.0,0.0,0.0
-3.5,0.2,1.0,1.0,1.0,0.0,0.0
-3.5,0.3,0.833333,1.0,1.0,0.0,1.0
-3.0,0.0,1.0,1.0,1.0,0.0,0.0
-3.0,0.05,1.0,1.0,1.0,0.0,0.0
-3.0,0.1,1.0,1.0,1.0,0.0,0.0
-3.0,0.2,1.0,1.0,1.0,0.0,0.0
-3.0,0.3,0.833333,1.0,1.0,0.0,1.0
-2.5,0.0,1.0,1.0,1.0,0.0,0.0
-2.5,0.05,1.0,1.0,1.0,0.0,0.0
-2.5,0.1,1.0,1.0,1.0,0.0,0.0
-2.5,0.2,1.0,1.0,1.0,0.0,0.0
-2.5,0.3,0.833333,1.0,1.0,0.0,1.0
-2.0,0.0,0.833333,0.8,1.0,0.0,0.0
-2.0,0.05,0.833333,0.8,1.0,0.0,0.0
-2.0,0.1,0.833333,0.8,1.0,0.0,0.0
-2.0,0.2,0.833333,0.8,1.0,0.0,0.0
-2.0,0.3,0.666667,0.8,1.0,0.0,1.0
-1.8,0.0,0.666667,0.6,1.0,0.0,0.0
-1.8,0.05,0.666667,0.6,1.0,0.0,0.0
-1.8,0.1,0.666667,0.6,1.0,0.0,0.0
-1.8,0.2,0.666667,0.6,1.0,0.0,0.0
-1.8,0.3,0.5,0.6,1.0,0.0,1.0
-1.6,0.0,0.5,0.4,1.0,0.0,0.0
-1.6,0.05,0.5,0.4,1.0,0.0,0.0
-1.6,0.1,0.5,0.4,1.0,0.0,0.0
-1.6,0.2,0.5,0.4,1.0,0.0,0.0
-1.6,0.3,0.333333,0.4,1.0,0.0,1.0
-1.4,0.0,0.333333,0.2,1.0,0.0,0.0
-1.4,0.05,0.333333,0.2,1.0,0.0,0.0
-1.4,0.1,0.333333,0.2,1.0,0.0,0.0
-1.4,0.2,0.333333,0.2,1.0,0.0,0.0
-1.4,0.3,0.166667,0.2,1.0,0.0,1.0
-1.2,0.0,0.0,0.0,0,0,1.0
-1.2,0.05,0.0,0.0,0,0,1.0
-1.2,0.1,0.0,0.0,0,0,1.0
-1.2,0.2,0.0,0.0,0,0,1.0
-1.2,0.3,0.0,0.0,0,0,1.0
